Cluster,Feature,Mean,Std,Mean±Std
C0,Acousticness,0.12156557089980151,0.1323287982247372,0.1216 ± 0.1323
C0,Danceability,0.48307286988803066,0.10494611813243088,0.4831 ± 0.1049
C0,Instrumentalness,0.004481842717808845,0.02176785408310147,0.0045 ± 0.0218
C0,Loudness,0.8004578669776632,0.057541865881263685,0.8005 ± 0.0575
C0,Speechiness,0.051804101347833635,0.05512504445491261,0.0518 ± 0.0551
C0,Valence,0.33735773344567105,0.1710347838390146,0.3374 ± 0.1710
C1,Acousticness,0.13607193281941032,0.13457535372347243,0.1361 ± 0.1346
C1,Danceability,0.7532284830352164,0.08522438289773068,0.7532 ± 0.0852
C1,Instrumentalness,0.0034456169246350424,0.01814406941202508,0.0034 ± 0.0181
C1,Loudness,0.7791357419380089,0.048398652932405035,0.7791 ± 0.0484
C1,Speechiness,0.08291461190999129,0.062393656124825225,0.0829 ± 0.0624
C1,Valence,0.34017426931693795,0.13784473152763752,0.3402 ± 0.1378
C2,Acousticness,0.3892193742163123,0.36538760352156274,0.3892 ± 0.3654
C2,Danceability,0.5,0.24184106255434418,0.5000 ± 0.2418
C2,Instrumentalness,0.8247074161663939,0.10874791139010348,0.8247 ± 0.1087
C2,Loudness,0.7004952684284803,0.14874831623898102,0.7005 ± 0.1487
C2,Speechiness,0.06501780889216408,0.12644114456264133,0.0650 ± 0.1264
C2,Valence,0.3136407737553818,0.23287447188348645,0.3136 ± 0.2329
C3,Acousticness,0.20046716283862337,0.20229701726152022,0.2005 ± 0.2023
C3,Danceability,0.7114285497480725,0.1500939838932517,0.7114 ± 0.1501
C3,Instrumentalness,0.0010778763880644555,0.009748540261202043,0.0011 ± 0.0097
C3,Loudness,0.7820647290760525,0.07350837668356698,0.7821 ± 0.0735
C3,Speechiness,0.34302900123159935,0.1034499684903699,0.3430 ± 0.1034
C3,Valence,0.4937578723342648,0.20380270569451045,0.4938 ± 0.2038
C4,Acousticness,0.7294696974416155,0.16325341160649803,0.7295 ± 0.1633
C4,Danceability,0.5045466478373436,0.1503594328442942,0.5045 ± 0.1504
C4,Instrumentalness,0.008452401000038861,0.030231068538759648,0.0085 ± 0.0302
C4,Loudness,0.6842527512514449,0.09503485542645285,0.6843 ± 0.0950
C4,Speechiness,0.04822484301481521,0.06401991806706436,0.0482 ± 0.0640
C4,Valence,0.35171271767901174,0.21003507067044602,0.3517 ± 0.2100
C5,Acousticness,0.2257267744397419,0.23077189074047663,0.2257 ± 0.2308
C5,Danceability,0.6872870034281104,0.12393061281018045,0.6873 ± 0.1239
C5,Instrumentalness,0.0032306545472033862,0.018445870223586302,0.0032 ± 0.0184
C5,Loudness,0.9449293872308511,0.02928853542621161,0.9449 ± 0.0293
C5,Speechiness,0.08912429378531074,0.08180697034198721,0.0891 ± 0.0818
C5,Valence,0.5170670417929112,0.21761430631615436,0.5171 ± 0.2176
C6,Acousticness,0.2949070570210252,0.3109149122226186,0.2949 ± 0.3109
C6,Danceability,0.609196442942218,0.19604930699741704,0.6092 ± 0.1960
C6,Instrumentalness,0.39101186134889254,0.11365286170777324,0.3910 ± 0.1137
C6,Loudness,0.7495549245128315,0.10561540451179338,0.7496 ± 0.1056
C6,Speechiness,0.0706149898927072,0.08124886954010903,0.0706 ± 0.0812
C6,Valence,0.31998771640244156,0.23422155351724164,0.3200 ± 0.2342
C7,Acousticness,0.19033685682168122,0.1746458244478715,0.1903 ± 0.1746
C7,Danceability,0.7392168066880817,0.10214861406989922,0.7392 ± 0.1021
C7,Instrumentalness,0.002166205040564166,0.014201362300102301,0.0022 ± 0.0142
C7,Loudness,0.8106950474337056,0.050508381067590265,0.8107 ± 0.0505
C7,Speechiness,0.06856499164478397,0.05915243325618702,0.0686 ± 0.0592
C7,Valence,0.7423988842398885,0.12116555173114714,0.7424 ± 0.1212
